,DS_CARGO,NM_CANDIDATO,NM_SOCIAL_CANDIDATO,NM_PARTIDO,DS_GENERO,DS_COR_RACA,NR_IDADE_DATA_POSSE,DS_GRAU_INSTRUCAO,NM_UE
0,VEREADOR,JAQUELINE MACHADO VIEIRA,#NULO#,SOLIDARIEDADE,FEMININO,BRANCA,20,ENSINO MÉDIO COMPLETO,SÃO PEDRO DA ALDEIA
1,VEREADOR,MARIA DAS GRAÇAS MACHADO DUTRA DA SILVA,#NULO#,PARTIDO REPUBLICANO BRASILEIRO,FEMININO,BRANCA,47,ENSINO MÉDIO COMPLETO,BOM JARDIM
2,VEREADOR,MANOEL IVAN BEZERRA PEREIRA,#NULO#,PARTIDO ECOLÓGICO NACIONAL,MASCULINO,BRANCA,64,SUPERIOR COMPLETO,RESENDE
3,VEREADOR,ALBERTO DOS REIS,#NULO#,PARTIDO DA MULHER BRASILEIRA,MASCULINO,PARDA,64,ENSINO MÉDIO COMPLETO,SÃO GONÇALO
4,VEREADOR,EDIANA LÚCIA FRANCISCA CHAGAS,#NULO#,PARTIDO PÁTRIA LIVRE,FEMININO,PRETA,54,LÊ E ESCREVE,QUISSAMÃ
5,VEREADOR,DELANO EMANOEL BASTOS,#NULO#,PARTIDO DA MULHER BRASILEIRA,MASCULINO,PARDA,67,ENSINO MÉDIO COMPLETO,LAJE DO MURIAÉ
6,VEREADOR,SOLANGE SILVA DOS SANTOS,#NULO#,PARTIDO REPUBLICANO BRASILEIRO,FEMININO,PARDA,55,ENSINO MÉDIO COMPLETO,RIO DE JANEIRO
7,VEREADOR,MARIA DE LOURDES DE ALMEIDA AMORIM,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,FEMININO,BRANCA,50,ENSINO MÉDIO COMPLETO,CACHOEIRAS DE MACACU
8,VEREADOR,JOACYR DOS REIS NOGUEIRA,#NULO#,PARTIDO REPUBLICANO PROGRESSISTA,MASCULINO,PARDA,55,SUPERIOR COMPLETO,BELFORD ROXO
9,VEREADOR,SANDRA CAVALCANTI LIZA,#NULO#,PARTIDO POPULAR SOCIALISTA,FEMININO,PARDA,55,ENSINO FUNDAMENTAL COMPLETO,MANGARATIBA
10,VEREADOR,ROSEMERY DE SOUZA PINA,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,FEMININO,PARDA,49,ENSINO FUNDAMENTAL INCOMPLETO,JAPERI
11,VEREADOR,NORMA ALMO DA SILVA,#NULO#,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,FEMININO,PARDA,53,ENSINO MÉDIO INCOMPLETO,SÃO PEDRO DA ALDEIA
12,VEREADOR,JOSIANI MOREIRA DA SILVA,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,FEMININO,BRANCA,38,ENSINO MÉDIO COMPLETO,SANTO ANTÔNIO DE PÁDUA
13,VEREADOR,BRUNO RONZEI PEREZ,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,MASCULINO,BRANCA,27,ENSINO MÉDIO COMPLETO,SANTO ANTÔNIO DE PÁDUA
14,VEREADOR,ELZA ONORATO DAS CHAGAS,#NULO#,PARTIDO DOS TRABALHADORES,FEMININO,PRETA,57,ENSINO MÉDIO COMPLETO,MENDES
15,VEREADOR,JOELSON ALVES DE SOUZA,#NULO#,PARTIDO POPULAR SOCIALISTA,MASCULINO,BRANCA,45,ENSINO MÉDIO COMPLETO,MAGÉ
16,VEREADOR,NILDELENE JOVEM DOS SANTOS,#NULO#,PARTIDO DEMOCRÁTICO TRABALHISTA,FEMININO,PARDA,47,ENSINO MÉDIO INCOMPLETO,RIO DE JANEIRO
17,VEREADOR,DENISE RANGEL PEIXOTO,#NULO#,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,FEMININO,BRANCA,53,ENSINO MÉDIO COMPLETO,MACAÉ
18,VEREADOR,MARIA DA CONCEIÇÃO DE SOUSA,#NULO#,PARTIDO REPUBLICANO PROGRESSISTA,FEMININO,BRANCA,52,SUPERIOR INCOMPLETO,ARMAÇÃO DOS BÚZIOS
19,VEREADOR,ZENITE ESMERIA ROMANO,#NULO#,PARTIDO SOCIAL DEMOCRÁTICO,FEMININO,BRANCA,66,ENSINO FUNDAMENTAL INCOMPLETO,MENDES
20,VEREADOR,ADILSON GOMES MENDES,#NULO#,PARTIDO HUMANISTA DA SOLIDARIEDADE,MASCULINO,PARDA,52,ENSINO MÉDIO COMPLETO,SÃO PEDRO DA ALDEIA
21,VEREADOR,ROBERTO GABRIEL DE SOUZA,#NULO#,PARTIDO VERDE,MASCULINO,PARDA,49,ENSINO MÉDIO COMPLETO,DUQUE DE CAXIAS
22,VEREADOR,JEANE LENY GOMES RANGEL,#NULO#,PARTIDO VERDE,FEMININO,BRANCA,33,SUPERIOR COMPLETO,ITAGUAÍ
23,VEREADOR,ANTONIO LUIZ CHAGAS,#NULO#,PARTIDO SOCIALISTA BRASILEIRO,MASCULINO,BRANCA,54,ENSINO FUNDAMENTAL COMPLETO,DUQUE DE CAXIAS
24,VEREADOR,ARY DOS SANTOS LOPES DA SILVA,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,MASCULINO,BRANCA,53,ENSINO FUNDAMENTAL INCOMPLETO,SANTO ANTÔNIO DE PÁDUA
25,VEREADOR,TANIA SALDANHA GAMA,#NULO#,DEMOCRATAS,FEMININO,BRANCA,66,ENSINO MÉDIO COMPLETO,NILÓPOLIS
26,VEREADOR,ERNANDES CORREA DE SOUZA,#NULO#,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,MASCULINO,PRETA,57,ENSINO FUNDAMENTAL INCOMPLETO,SÃO SEBASTIÃO DO ALTO
27,VEREADOR,MARCOS VINICIUS NASCIMENTO MEIRELLES,#NULO#,PARTIDO SOCIAL DEMOCRATA CRISTÃO,MASCULINO,BRANCA,51,ENSINO MÉDIO COMPLETO,ITAPERUNA
28,VEREADOR,FELISBERTO DE PAULO LEITE PESSANHA,#NULO#,PARTIDO TRABALHISTA CRISTÃO,MASCULINO,BRANCA,54,ENSINO MÉDIO COMPLETO,CAMPOS DOS GOYTACAZES
29,VEREADOR,ALBERTO LEANDRO MOURA MEIRELLES,#NULO#,PARTIDO REPUBLICANO DA ORDEM SOCIAL,MASCULINO,PARDA,33,ENSINO MÉDIO COMPLETO,VASSOURAS
30,VEREADOR,VERA LUCIA SARDINHA DE AZEREDO LIRIO,#NULO#,PARTIDO POPULAR SOCIALISTA,FEMININO,BRANCA,56,ENSINO MÉDIO COMPLETO,CAMPOS DOS GOYTACAZES
31,VEREADOR,JARBAS SEVERINO OLIVEIRA,#NULO#,DEMOCRATAS,MASCULINO,PARDA,44,ENSINO FUNDAMENTAL INCOMPLETO,RIO DE JANEIRO
32,VEREADOR,NOELCIR VASCONCELOS PINHEIRO,#NULO#,PARTIDO TRABALHISTA CRISTÃO,MASCULINO,BRANCA,60,ENSINO FUNDAMENTAL COMPLETO,PARATY
33,VEREADOR,REINALDO LUX DE ABREU,#NULO#,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,MASCULINO,PARDA,38,ENSINO MÉDIO INCOMPLETO,BARRA MANSA
34,VEREADOR,LUIZ ALBERTO OLIVEIRA DE MENEZES,#NULO#,PARTIDO TRABALHISTA BRASILEIRO,MASCULINO,BRANCA,44,SUPERIOR COMPLETO,CAMPOS DOS GOYTACAZES
35,VEREADOR,JAIR DOS PASSOS NUNES FILHO,#NULO#,PARTIDO DEMOCRÁTICO TRABALHISTA,MASCULINO,BRANCA,58,ENSINO MÉDIO COMPLETO,VOLTA REDONDA
36,VEREADOR,CAROLINA TORRES BRAVO,#NULO#,PARTIDO PÁTRIA LIVRE,FEMININO,BRANCA,34,ENSINO MÉDIO COMPLETO,MESQUITA
37,VEREADOR,ADIMÁRIO VASCOUTO,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,MASCULINO,BRANCA,67,ENSINO FUNDAMENTAL INCOMPLETO,TRAJANO DE MORAES
