,DS_CARGO,NM_CANDIDATO,NM_SOCIAL_CANDIDATO,NM_PARTIDO,DS_GENERO,DS_COR_RACA,NR_IDADE_DATA_POSSE,DS_GRAU_INSTRUCAO,NM_UE
4763,VEREADOR,ADRIANA AMORIM,#NULO#,PARTIDO TRABALHISTA BRASILEIRO,FEMININO,PRETA,43,ENSINO MÉDIO INCOMPLETO,DUQUE DE CAXIAS
4764,VEREADOR,CARINA DE LIMA BARBOSA,#NULO#,PARTIDO SOCIAL CRISTÃO,FEMININO,PARDA,24,LÊ E ESCREVE,BELFORD ROXO
4765,VEREADOR,MARCO ANTONIO RODRIGUES HENRIQUES,#NULO#,PARTIDO PROGRESSISTA,MASCULINO,BRANCA,56,ENSINO FUNDAMENTAL COMPLETO,SÃO JOÃO DE MERITI
4766,VEREADOR,MARNA ROCHA DA SILVA,#NULO#,PARTIDO SOCIAL DEMOCRATA CRISTÃO,FEMININO,BRANCA,43,SUPERIOR COMPLETO,MARICÁ
4767,VEREADOR,GUILHERME NOVAES MORAES,#NULO#,PARTIDO REPUBLICANO PROGRESSISTA,MASCULINO,PARDA,34,ENSINO MÉDIO COMPLETO,ARMAÇÃO DOS BÚZIOS
4768,VEREADOR,UGO ANTUNES DA SILVA,#NULO#,PARTIDO DEMOCRÁTICO TRABALHISTA,MASCULINO,PARDA,33,ENSINO MÉDIO COMPLETO,ARARUAMA
4769,VEREADOR,SAMUEL DE SOUZA FAGUNDES,#NULO#,PARTIDO DEMOCRÁTICO TRABALHISTA,MASCULINO,PRETA,37,ENSINO MÉDIO COMPLETO,QUEIMADOS
4770,VEREADOR,LILVALDO MELO ARAÚJO,#NULO#,PARTIDO VERDE,MASCULINO,BRANCA,50,ENSINO FUNDAMENTAL INCOMPLETO,ITALVA
4771,VEREADOR,EDIVALDO AUGUSTO DA SILVA,#NULO#,REDE SUSTENTABILIDADE,MASCULINO,PARDA,40,ENSINO FUNDAMENTAL COMPLETO,ARRAIAL DO CABO
4772,VEREADOR,LUIS ANTONIO DA SILVA,#NULO#,PARTIDO PÁTRIA LIVRE,MASCULINO,PARDA,54,ENSINO MÉDIO COMPLETO,RIO BONITO
4773,VEREADOR,GEAZI CARDOSO BRAGANÇA,#NULO#,PARTIDO HUMANISTA DA SOLIDARIEDADE,MASCULINO,BRANCA,46,ENSINO MÉDIO COMPLETO,RIO DE JANEIRO
4774,VEREADOR,COSME SILVA PEREIRA,#NULO#,PARTIDO REPUBLICANO BRASILEIRO,MASCULINO,PARDA,51,SUPERIOR COMPLETO,QUEIMADOS
4775,VEREADOR,LUIZ ALBERTO BARBOSA,#NULO#,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,MASCULINO,BRANCA,51,SUPERIOR COMPLETO,TRÊS RIOS
4776,VEREADOR,MARCIA MARIA ALVES CONTI DE SOUZA,#NULO#,PARTIDO HUMANISTA DA SOLIDARIEDADE,FEMININO,BRANCA,41,ENSINO MÉDIO COMPLETO,PINHEIRAL
4777,VEREADOR,IONETE MACHADO DOS REIS,#NULO#,PARTIDO SOCIAL CRISTÃO,FEMININO,PRETA,48,SUPERIOR COMPLETO,MAGÉ
4778,VEREADOR,JOSÉ CARLOS BARBOSA,#NULO#,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,MASCULINO,BRANCA,63,ENSINO FUNDAMENTAL INCOMPLETO,BARRA MANSA
4779,VEREADOR,LIDIA MARIA DE ARRUDA,#NULO#,PARTIDO TRABALHISTA DO BRASIL,FEMININO,BRANCA,66,ENSINO FUNDAMENTAL COMPLETO,SAQUAREMA
4780,VEREADOR,HELDER GIL MOTTA,#NULO#,PARTIDO DOS TRABALHADORES,MASCULINO,BRANCA,48,SUPERIOR COMPLETO,MAGÉ
4781,VEREADOR,DAYSE MESQUITA DE SÁ,#NULO#,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,FEMININO,BRANCA,53,SUPERIOR COMPLETO,IGUABA GRANDE
4782,VEREADOR,REGINA LUCIA DA CONCEIÇÃO,#NULO#,PARTIDO REPUBLICANO BRASILEIRO,FEMININO,PRETA,50,ENSINO MÉDIO COMPLETO,TANGUÁ
4784,VEREADOR,IZAIS FRANCISCO DE OLIVEIRA,#NULO#,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,MASCULINO,PARDA,53,ENSINO MÉDIO COMPLETO,MAGÉ
4785,VEREADOR,REGINA CÉLIA OLIVEIRA LIMA,#NULO#,PARTIDO DOS TRABALHADORES,FEMININO,PARDA,47,ENSINO FUNDAMENTAL INCOMPLETO,PETRÓPOLIS
4786,VEREADOR,MARCELO CORREA DE MATTOS,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,MASCULINO,BRANCA,49,ENSINO FUNDAMENTAL INCOMPLETO,TERESÓPOLIS
4787,VEREADOR,TAMIRES ALVES NO NASCIMENTO LIMA,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,FEMININO,PRETA,25,ENSINO MÉDIO COMPLETO,PARAÍBA DO SUL
4788,VEREADOR,BETHANIA ABEL FERNANDES DA SILVA,#NULO#,PARTIDO SOCIAL LIBERAL,FEMININO,PARDA,23,ENSINO MÉDIO COMPLETO,LAJE DO MURIAÉ
4789,VEREADOR,JOÃO RONALDO ALVES FERREIRA,#NULO#,PARTIDO SOCIAL CRISTÃO,MASCULINO,BRANCA,63,ENSINO FUNDAMENTAL INCOMPLETO,VOLTA REDONDA
4790,VEREADOR,DIANASCENTE PEREIRA DE SANT ANNA,#NULO#,PARTIDO DEMOCRÁTICO TRABALHISTA,FEMININO,PARDA,60,ENSINO MÉDIO COMPLETO,RIO DE JANEIRO
4791,VEREADOR,CLAUDINEI DE PAULA,#NULO#,PARTIDO TRABALHISTA BRASILEIRO,MASCULINO,BRANCA,51,ENSINO FUNDAMENTAL COMPLETO,VALENÇA
4792,VEREADOR,LEILA MARIA DE MORAES SILVA,#NULO#,PARTIDO PÁTRIA LIVRE,FEMININO,PRETA,59,SUPERIOR INCOMPLETO,RIO DE JANEIRO
4793,VEREADOR,JOSÉ RICARDO SOARES DE OLIVEIRA,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,MASCULINO,PARDA,39,ENSINO FUNDAMENTAL INCOMPLETO,SILVA JARDIM
