,DS_CARGO,NM_CANDIDATO,NM_SOCIAL_CANDIDATO,NM_PARTIDO,DS_GENERO,DS_COR_RACA,NR_IDADE_DATA_POSSE,DS_GRAU_INSTRUCAO,NM_UE,VR_DESPESA_MAX_CAMPANHA
14,VEREADOR,ELZA ONORATO DAS CHAGAS,#NULO#,PARTIDO DOS TRABALHADORES,FEMININO,NEGRA,57,ENSINO MÉDIO COMPLETO,MENDES,-1
15,VEREADOR,JOELSON ALVES DE SOUZA,#NULO#,PARTIDO POPULAR SOCIALISTA,MASCULINO,BRANCA,45,ENSINO MÉDIO COMPLETO,MAGÉ,-1
16,VEREADOR,NILDELENE JOVEM DOS SANTOS,#NULO#,PARTIDO DEMOCRÁTICO TRABALHISTA,FEMININO,NEGRA,47,ENSINO MÉDIO INCOMPLETO,RIO DE JANEIRO,-1
17,VEREADOR,DENISE RANGEL PEIXOTO,#NULO#,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,FEMININO,BRANCA,53,ENSINO MÉDIO COMPLETO,MACAÉ,-1
18,VEREADOR,MARIA DA CONCEIÇÃO DE SOUSA,#NULO#,PARTIDO REPUBLICANO PROGRESSISTA,FEMININO,BRANCA,52,SUPERIOR INCOMPLETO,ARMAÇÃO DOS BÚZIOS,-1
19,VEREADOR,ZENITE ESMERIA ROMANO,#NULO#,PARTIDO SOCIAL DEMOCRÁTICO,FEMININO,BRANCA,66,ENSINO FUNDAMENTAL INCOMPLETO,MENDES,-1
20,VEREADOR,ADILSON GOMES MENDES,#NULO#,PARTIDO HUMANISTA DA SOLIDARIEDADE,MASCULINO,NEGRA,52,ENSINO MÉDIO COMPLETO,SÃO PEDRO DA ALDEIA,-1
21,VEREADOR,ROBERTO GABRIEL DE SOUZA,#NULO#,PARTIDO VERDE,MASCULINO,NEGRA,49,ENSINO MÉDIO COMPLETO,DUQUE DE CAXIAS,-1
22,VEREADOR,JEANE LENY GOMES RANGEL,#NULO#,PARTIDO VERDE,FEMININO,BRANCA,33,SUPERIOR COMPLETO,ITAGUAÍ,-1
23,VEREADOR,ANTONIO LUIZ CHAGAS,#NULO#,PARTIDO SOCIALISTA BRASILEIRO,MASCULINO,BRANCA,54,ENSINO FUNDAMENTAL COMPLETO,DUQUE DE CAXIAS,-1
24,VEREADOR,ARY DOS SANTOS LOPES DA SILVA,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,MASCULINO,BRANCA,53,ENSINO FUNDAMENTAL INCOMPLETO,SANTO ANTÔNIO DE PÁDUA,-1
25,VEREADOR,TANIA SALDANHA GAMA,#NULO#,DEMOCRATAS,FEMININO,BRANCA,66,ENSINO MÉDIO COMPLETO,NILÓPOLIS,-1
26,VEREADOR,ERNANDES CORREA DE SOUZA,#NULO#,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,MASCULINO,NEGRA,57,ENSINO FUNDAMENTAL INCOMPLETO,SÃO SEBASTIÃO DO ALTO,0
27,VEREADOR,MARCOS VINICIUS NASCIMENTO MEIRELLES,#NULO#,PARTIDO SOCIAL DEMOCRATA CRISTÃO,MASCULINO,BRANCA,51,ENSINO MÉDIO COMPLETO,ITAPERUNA,-1
28,VEREADOR,FELISBERTO DE PAULO LEITE PESSANHA,#NULO#,PARTIDO TRABALHISTA CRISTÃO,MASCULINO,BRANCA,54,ENSINO MÉDIO COMPLETO,CAMPOS DOS GOYTACAZES,-1
29,VEREADOR,ALBERTO LEANDRO MOURA MEIRELLES,#NULO#,PARTIDO REPUBLICANO DA ORDEM SOCIAL,MASCULINO,NEGRA,33,ENSINO MÉDIO COMPLETO,VASSOURAS,-1
30,VEREADOR,VERA LUCIA SARDINHA DE AZEREDO LIRIO,#NULO#,PARTIDO POPULAR SOCIALISTA,FEMININO,BRANCA,56,ENSINO MÉDIO COMPLETO,CAMPOS DOS GOYTACAZES,-1
31,VEREADOR,JARBAS SEVERINO OLIVEIRA,#NULO#,DEMOCRATAS,MASCULINO,NEGRA,44,ENSINO FUNDAMENTAL INCOMPLETO,RIO DE JANEIRO,0
32,VEREADOR,NOELCIR VASCONCELOS PINHEIRO,#NULO#,PARTIDO TRABALHISTA CRISTÃO,MASCULINO,BRANCA,60,ENSINO FUNDAMENTAL COMPLETO,PARATY,-1
33,VEREADOR,REINALDO LUX DE ABREU,#NULO#,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,MASCULINO,NEGRA,38,ENSINO MÉDIO INCOMPLETO,BARRA MANSA,0
34,VEREADOR,LUIZ ALBERTO OLIVEIRA DE MENEZES,#NULO#,PARTIDO TRABALHISTA BRASILEIRO,MASCULINO,BRANCA,44,SUPERIOR COMPLETO,CAMPOS DOS GOYTACAZES,-1
35,VEREADOR,JAIR DOS PASSOS NUNES FILHO,#NULO#,PARTIDO DEMOCRÁTICO TRABALHISTA,MASCULINO,BRANCA,58,ENSINO MÉDIO COMPLETO,VOLTA REDONDA,-1
