,FEMININO,%FEMININO,MASCULINO,%MASCULINO,BRANCA,%BRANCA,NEGRA,%NEGRA,AMARELA,%AMARELA,INDÍGENA,%INDÍGENA,ENSINO MÉDIO,%ENSINO MÉDIO,ENSINO FUNDAMENTAL,%ENSINO FUNDAMENTAL,ENSINO SUPERIOR,%ENSINO SUPERIOR,LÊ E ESCREVE,%LÊ E ESCREVE
JIQUIRIÇÁ,19,31.7,41,68.3,11.0,18.3,49,81.7,0.0,0.0,0.0,0.0,25,41.7,24,40.0,11,18.3,0.0,0.0
JITAÚNA,21,38.9,33,61.1,13.0,24.1,41,75.9,0.0,0.0,0.0,0.0,32,59.3,10,18.5,11,20.4,1.0,1.9
JOÃO DOURADO,12,36.4,21,63.6,5.0,15.2,28,84.8,0.0,0.0,0.0,0.0,17,51.5,4,12.1,12,36.4,0.0,0.0
JUAZEIRO,96,31.6,208,68.4,97.0,31.9,206,67.8,1.0,0.3,0.0,0.0,161,53.0,52,17.1,83,27.3,8.0,2.6
JUCURUÇU,17,31.5,37,68.5,4.0,7.4,50,92.6,0.0,0.0,0.0,0.0,15,27.8,30,55.6,7,13.0,2.0,3.7
JUSSARA,15,34.9,28,65.1,14.0,32.6,29,67.4,0.0,0.0,0.0,0.0,21,48.8,10,23.3,11,25.6,1.0,2.3
JUSSARI,20,36.4,35,63.6,11.0,20.0,44,80.0,0.0,0.0,0.0,0.0,24,43.6,14,25.5,15,27.3,2.0,3.6
JUSSIAPE,11,37.9,18,62.1,13.0,44.8,16,55.2,0.0,0.0,0.0,0.0,16,55.2,12,41.4,1,3.4,0.0,0.0
LAFAIETE COUTINHO,12,34.3,23,65.7,15.0,42.9,20,57.1,0.0,0.0,0.0,0.0,13,37.1,15,42.9,7,20.0,0.0,0.0
LAGOA REAL,11,33.3,22,66.7,22.0,66.7,11,33.3,0.0,0.0,0.0,0.0,9,27.3,15,45.5,6,18.2,3.0,9.1
LAJE,28,31.8,60,68.2,15.0,17.0,73,83.0,0.0,0.0,0.0,0.0,43,48.9,29,33.0,16,18.2,0.0,0.0
LAJEDINHO,13,34.2,25,65.8,1.0,2.6,37,97.4,0.0,0.0,0.0,0.0,14,36.8,18,47.4,6,15.8,0.0,0.0
LAJEDO DO TABOCAL,19,37.3,32,62.7,14.0,27.5,36,70.6,0.0,0.0,1.0,2.0,22,43.1,26,51.0,3,5.9,0.0,0.0
LAJEDÃO,25,36.8,43,63.2,35.0,51.5,33,48.5,0.0,0.0,0.0,0.0,31,45.6,27,39.7,10,14.7,0.0,0.0
LAMARÃO,13,31.7,28,68.3,1.0,2.4,40,97.6,0.0,0.0,0.0,0.0,23,56.1,13,31.7,3,7.3,2.0,4.9
LAPÃO,16,32.0,34,68.0,12.0,24.0,38,76.0,0.0,0.0,0.0,0.0,21,42.0,11,22.0,17,34.0,1.0,2.0
LAURO DE FREITAS,111,31.9,237,68.1,47.0,13.5,299,85.9,0.0,0.0,2.0,0.6,182,52.3,37,10.6,129,37.1,0.0,0.0
LENÇÓIS,23,33.8,45,66.2,3.0,4.4,65,95.6,0.0,0.0,0.0,0.0,39,57.4,23,33.8,6,8.8,0.0,0.0
LICÍNIO DE ALMEIDA,14,31.8,30,68.2,17.0,38.6,27,61.4,0.0,0.0,0.0,0.0,19,43.2,18,40.9,7,15.9,0.0,0.0
LIVRAMENTO DE NOSSA SENHORA,38,34.9,71,65.1,41.0,37.6,66,60.6,0.0,0.0,2.0,1.8,55,50.5,33,30.3,21,19.3,0.0,0.0
LUÍS EDUARDO MAGALHÃES,91,31.9,194,68.1,93.0,32.6,191,67.0,0.0,0.0,1.0,0.4,133,46.7,39,13.7,92,32.3,21.0,7.4
MACAJUBA,14,31.8,30,68.2,9.0,20.5,35,79.5,0.0,0.0,0.0,0.0,17,38.6,18,40.9,7,15.9,2.0,4.5
MACARANI,26,34.2,50,65.8,17.0,22.4,58,76.3,1.0,1.3,0.0,0.0,17,22.4,34,44.7,15,19.7,10.0,13.2
MACAÚBAS,22,33.8,43,66.2,27.0,41.5,38,58.5,0.0,0.0,0.0,0.0,32,49.2,18,27.7,14,21.5,1.0,1.5
MACURURÉ,12,30.8,27,69.2,3.0,7.7,36,92.3,0.0,0.0,0.0,0.0,21,53.8,8,20.5,8,20.5,2.0,5.1
MADRE DE DEUS,42,39.3,65,60.7,16.0,15.0,91,85.0,0.0,0.0,0.0,0.0,65,60.7,12,11.2,28,26.2,2.0,1.9
MAETINGA,10,35.7,18,64.3,18.0,64.3,10,35.7,0.0,0.0,0.0,0.0,7,25.0,17,60.7,4,14.3,0.0,0.0
MAIQUINIQUE,17,34.0,33,66.0,19.0,38.0,31,62.0,0.0,0.0,0.0,0.0,26,52.0,18,36.0,6,12.0,0.0,0.0
MAIRI,13,32.5,27,67.5,9.0,22.5,31,77.5,0.0,0.0,0.0,0.0,22,55.0,7,17.5,11,27.5,0.0,0.0
MALHADA,14,31.8,30,68.2,3.0,6.8,41,93.2,0.0,0.0,0.0,0.0,21,47.7,9,20.5,14,31.8,0.0,0.0
MALHADA DE PEDRAS,12,35.3,22,64.7,19.0,55.9,15,44.1,0.0,0.0,0.0,0.0,16,47.1,11,32.4,1,2.9,6.0,17.6
MANOEL VITORINO,18,34.0,35,66.0,6.0,11.3,47,88.7,0.0,0.0,0.0,0.0,18,34.0,25,47.2,7,13.2,3.0,5.7
MANSIDÃO,18,37.5,30,62.5,3.0,6.2,45,93.8,0.0,0.0,0.0,0.0,22,45.8,14,29.2,10,20.8,2.0,4.2
MARACÁS,28,35.9,50,64.1,30.0,38.5,48,61.5,0.0,0.0,0.0,0.0,46,59.0,18,23.1,8,10.3,6.0,7.7
MARAGOGIPE,59,34.3,113,65.7,15.0,8.7,157,91.3,0.0,0.0,0.0,0.0,118,68.6,28,16.3,23,13.4,3.0,1.7
MARAÚ,22,31.9,47,68.1,6.0,8.7,63,91.3,0.0,0.0,0.0,0.0,41,59.4,16,23.2,12,17.4,0.0,0.0
MARCIONÍLIO SOUZA,12,36.4,21,63.6,2.0,6.1,31,93.9,0.0,0.0,0.0,0.0,20,60.6,7,21.2,6,18.2,0.0,0.0
MASCOTE,21,31.8,45,68.2,7.0,10.6,59,89.4,0.0,0.0,0.0,0.0,37,56.1,13,19.7,16,24.2,0.0,0.0
MATA DE SÃO JOÃO,50,30.1,116,69.9,19.0,11.4,147,88.6,0.0,0.0,0.0,0.0,97,58.4,36,21.7,33,19.9,0.0,0.0
MATINA,12,33.3,24,66.7,14.0,38.9,22,61.1,0.0,0.0,0.0,0.0,17,47.2,7,19.4,9,25.0,3.0,8.3
MEDEIROS NETO,23,31.5,50,68.5,34.0,46.6,39,53.4,0.0,0.0,0.0,0.0,37,50.7,21,28.8,15,20.5,0.0,0.0
MIGUEL CALMON,31,33.3,62,66.7,25.0,26.9,68,73.1,0.0,0.0,0.0,0.0,49,52.7,17,18.3,26,28.0,1.0,1.1
MILAGRES,24,36.9,41,63.1,17.0,26.2,48,73.8,0.0,0.0,0.0,0.0,30,46.2,22,33.8,13,20.0,0.0,0.0
MIRANGABA,21,34.4,40,65.6,13.0,21.3,48,78.7,0.0,0.0,0.0,0.0,34,55.7,15,24.6,11,18.0,1.0,1.6
MIRANTE,12,33.3,24,66.7,14.0,38.9,22,61.1,0.0,0.0,0.0,0.0,9,25.0,25,69.4,2,5.6,0.0,0.0
MONTE SANTO,44,32.4,92,67.6,29.0,21.3,107,78.7,0.0,0.0,0.0,0.0,60,44.1,40,29.4,32,23.5,4.0,2.9
MORPARÁ,10,33.3,20,66.7,11.0,36.7,19,63.3,0.0,0.0,0.0,0.0,19,63.3,9,30.0,1,3.3,1.0,3.3
MORRO DO CHAPÉU,27,32.5,56,67.5,31.0,37.3,50,60.2,0.0,0.0,2.0,2.4,48,57.8,25,30.1,10,12.0,0.0,0.0
MORTUGABA,10,33.3,20,66.7,9.0,30.0,19,63.3,0.0,0.0,2.0,6.7,14,46.7,9,30.0,1,3.3,6.0,20.0
MUCUGÊ,12,33.3,24,66.7,1.0,2.8,35,97.2,0.0,0.0,0.0,0.0,17,47.2,7,19.4,9,25.0,3.0,8.3
MUCURI,64,34.4,122,65.6,16.0,8.6,169,90.9,0.0,0.0,1.0,0.5,110,59.1,23,12.4,39,21.0,14.0,7.5
MULUNGU DO MORRO,10,31.2,22,68.8,0.0,0.0,32,100.0,0.0,0.0,0.0,0.0,14,43.8,14,43.8,4,12.5,0.0,0.0
MUNDO NOVO,15,33.3,30,66.7,11.0,24.4,34,75.6,0.0,0.0,0.0,0.0,28,62.2,11,24.4,6,13.3,0.0,0.0
MUNIZ FERREIRA,12,33.3,24,66.7,12.0,33.3,24,66.7,0.0,0.0,0.0,0.0,17,47.2,17,47.2,2,5.6,0.0,0.0
MUQUÉM DO SÃO FRANCISCO,18,32.7,37,67.3,9.0,16.4,43,78.2,0.0,0.0,3.0,5.5,19,34.5,25,45.5,4,7.3,7.0,12.7
MURITIBA,58,36.0,103,64.0,6.0,3.7,155,96.3,0.0,0.0,0.0,0.0,73,45.3,62,38.5,26,16.1,0.0,0.0
MUTUÍPE,20,32.8,41,67.2,9.0,14.8,52,85.2,0.0,0.0,0.0,0.0,20,32.8,34,55.7,6,9.8,1.0,1.6
NAZARÉ,42,34.7,79,65.3,25.0,20.7,96,79.3,0.0,0.0,0.0,0.0,78,64.5,20,16.5,21,17.4,2.0,1.7
NILO PEÇANHA,18,32.7,37,67.3,8.0,14.5,47,85.5,0.0,0.0,0.0,0.0,26,47.3,23,41.8,6,10.9,0.0,0.0
NORDESTINA,22,37.3,37,62.7,10.0,16.9,49,83.1,0.0,0.0,0.0,0.0,34,57.6,18,30.5,7,11.9,0.0,0.0
NOVA CANAÃ,12,31.6,26,68.4,15.0,39.5,23,60.5,0.0,0.0,0.0,0.0,11,28.9,16,42.1,11,28.9,0.0,0.0
NOVA FÁTIMA,9,32.1,19,67.9,10.0,35.7,18,64.3,0.0,0.0,0.0,0.0,14,50.0,7,25.0,4,14.3,3.0,10.7
NOVA IBIÁ,18,33.3,36,66.7,6.0,11.1,48,88.9,0.0,0.0,0.0,0.0,32,59.3,17,31.5,5,9.3,0.0,0.0
NOVA ITARANA,13,34.2,25,65.8,3.0,7.9,35,92.1,0.0,0.0,0.0,0.0,20,52.6,14,36.8,4,10.5,0.0,0.0
NOVA REDENÇÃO,10,32.3,21,67.7,3.0,9.7,28,90.3,0.0,0.0,0.0,0.0,15,48.4,10,32.3,4,12.9,2.0,6.5
NOVA SOURE,21,30.9,47,69.1,29.0,42.6,39,57.4,0.0,0.0,0.0,0.0,40,58.8,21,30.9,7,10.3,0.0,0.0
NOVA VIÇOSA,46,31.1,102,68.9,87.0,58.8,61,41.2,0.0,0.0,0.0,0.0,75,50.7,39,26.4,24,16.2,10.0,6.8
NOVO HORIZONTE,11,35.5,20,64.5,10.0,32.3,21,67.7,0.0,0.0,0.0,0.0,10,32.3,13,41.9,5,16.1,3.0,9.7
NOVO TRIUNFO,9,34.6,17,65.4,2.0,7.7,24,92.3,0.0,0.0,0.0,0.0,7,26.9,9,34.6,10,38.5,0.0,0.0
OLINDINA,31,32.6,64,67.4,17.0,17.9,57,60.0,15.0,15.8,6.0,6.3,48,50.5,22,23.2,13,13.7,12.0,12.6
OLIVEIRA DOS BREJINHOS,13,31.0,29,69.0,7.0,16.7,35,83.3,0.0,0.0,0.0,0.0,19,45.2,14,33.3,8,19.0,1.0,2.4
OURIÇANGAS,21,37.5,35,62.5,5.0,8.9,51,91.1,0.0,0.0,0.0,0.0,28,50.0,13,23.2,10,17.9,5.0,8.9
OUROLÂNDIA,16,31.4,35,68.6,12.0,23.5,39,76.5,0.0,0.0,0.0,0.0,11,21.6,19,37.3,13,25.5,8.0,15.7
PALMAS DE MONTE ALTO,20,33.9,39,66.1,0.0,0.0,59,100.0,0.0,0.0,0.0,0.0,24,40.7,21,35.6,14,23.7,0.0,0.0
PALMEIRAS,11,33.3,22,66.7,5.0,15.2,28,84.8,0.0,0.0,0.0,0.0,19,57.6,10,30.3,4,12.1,0.0,0.0
PARAMIRIM,14,29.8,33,70.2,18.0,38.3,29,61.7,0.0,0.0,0.0,0.0,28,59.6,7,14.9,11,23.4,1.0,2.1
PARATINGA,25,32.5,52,67.5,9.0,11.7,67,87.0,1.0,1.3,0.0,0.0,33,42.9,27,35.1,17,22.1,0.0,0.0
PARIPIRANGA,19,36.5,33,63.5,16.0,30.8,36,69.2,0.0,0.0,0.0,0.0,20,38.5,19,36.5,13,25.0,0.0,0.0
PAU BRASIL,12,34.3,23,65.7,4.0,11.4,27,77.1,0.0,0.0,4.0,11.4,26,74.3,3,8.6,5,14.3,1.0,2.9
PAULO AFONSO,48,31.2,106,68.8,17.0,11.0,137,89.0,0.0,0.0,0.0,0.0,60,39.0,37,24.0,51,33.1,6.0,3.9
PEDRO ALEXANDRE,20,31.2,44,68.8,3.0,4.7,61,95.3,0.0,0.0,0.0,0.0,24,37.5,28,43.8,9,14.1,3.0,4.7
PEDRÃO,29,33.0,59,67.0,13.0,14.8,75,85.2,0.0,0.0,0.0,0.0,58,65.9,19,21.6,10,11.4,1.0,1.1
PIATÃ,12,32.4,25,67.6,8.0,21.6,29,78.4,0.0,0.0,0.0,0.0,20,54.1,8,21.6,4,10.8,5.0,13.5
PILÃO ARCADO,28,32.6,58,67.4,16.0,18.6,70,81.4,0.0,0.0,0.0,0.0,36,41.9,28,32.6,21,24.4,1.0,1.2
PINDAÍ,11,33.3,22,66.7,4.0,12.1,29,87.9,0.0,0.0,0.0,0.0,19,57.6,8,24.2,4,12.1,2.0,6.1
PINDOBAÇU,27,32.5,56,67.5,17.0,20.5,62,74.7,4.0,4.8,0.0,0.0,49,59.0,15,18.1,16,19.3,3.0,3.6
PINTADAS,7,31.8,15,68.2,7.0,31.8,15,68.2,0.0,0.0,0.0,0.0,9,40.9,2,9.1,9,40.9,2.0,9.1
PIRAÍ DO NORTE,15,31.9,32,68.1,13.0,27.7,34,72.3,0.0,0.0,0.0,0.0,22,46.8,10,21.3,9,19.1,6.0,12.8
PIRIPÁ,17,39.5,26,60.5,4.0,9.3,39,90.7,0.0,0.0,0.0,0.0,15,34.9,20,46.5,3,7.0,5.0,11.6
PIRITIBA,28,34.1,54,65.9,16.0,19.5,65,79.3,0.0,0.0,1.0,1.2,39,47.6,22,26.8,14,17.1,7.0,8.5
PLANALTINO,14,36.8,24,63.2,13.0,34.2,25,65.8,0.0,0.0,0.0,0.0,21,55.3,8,21.1,3,7.9,6.0,15.8
PLANALTO,22,33.3,44,66.7,47.0,71.2,19,28.8,0.0,0.0,0.0,0.0,28,42.4,20,30.3,16,24.2,2.0,3.0
POJUCA,52,31.7,112,68.3,16.0,9.8,148,90.2,0.0,0.0,0.0,0.0,89,54.3,42,25.6,31,18.9,2.0,1.2
PONTO NOVO,26,35.1,48,64.9,3.0,4.1,71,95.9,0.0,0.0,0.0,0.0,32,43.2,25,33.8,17,23.0,0.0,0.0
PORTO SEGURO,93,31.8,199,68.2,54.0,18.5,233,79.8,2.0,0.7,3.0,1.0,163,55.8,68,23.3,60,20.5,1.0,0.3
POTIRAGUÁ,17,30.4,39,69.6,3.0,5.4,52,92.9,1.0,1.8,0.0,0.0,26,46.4,24,42.9,5,8.9,1.0,1.8
POÇÕES,37,32.7,76,67.3,36.0,31.9,77,68.1,0.0,0.0,0.0,0.0,36,31.9,54,47.8,20,17.7,3.0,2.7
PRADO,40,31.2,88,68.8,28.0,21.9,94,73.4,0.0,0.0,6.0,4.7,54,42.2,54,42.2,19,14.8,1.0,0.8
PRESIDENTE DUTRA,8,33.3,16,66.7,10.0,41.7,14,58.3,0.0,0.0,0.0,0.0,13,54.2,5,20.8,4,16.7,2.0,8.3
PRESIDENTE JÂNIO QUADROS,14,33.3,28,66.7,17.0,40.5,25,59.5,0.0,0.0,0.0,0.0,6,14.3,28,66.7,5,11.9,3.0,7.1
PRESIDENTE TANCREDO NEVES,22,31.9,47,68.1,9.0,13.0,59,85.5,1.0,1.4,0.0,0.0,42,60.9,20,29.0,7,10.1,0.0,0.0
PÉ DE SERRA,11,33.3,22,66.7,14.0,42.4,19,57.6,0.0,0.0,0.0,0.0,12,36.4,10,30.3,8,24.2,3.0,9.1
QUEIMADAS,20,32.8,41,67.2,4.0,6.6,56,91.8,1.0,1.6,0.0,0.0,43,70.5,10,16.4,8,13.1,0.0,0.0
QUINJINGUE,18,34.0,35,66.0,5.0,9.4,48,90.6,0.0,0.0,0.0,0.0,18,34.0,11,20.8,22,41.5,2.0,3.8
QUIXABEIRA,10,34.5,19,65.5,4.0,13.8,25,86.2,0.0,0.0,0.0,0.0,15,51.7,7,24.1,6,20.7,1.0,3.4
RAFAEL JAMBEIRO,17,32.1,36,67.9,6.0,11.3,47,88.7,0.0,0.0,0.0,0.0,20,37.7,27,50.9,6,11.3,0.0,0.0
REMANSO,23,31.1,51,68.9,3.0,4.1,71,95.9,0.0,0.0,0.0,0.0,40,54.1,18,24.3,14,18.9,2.0,2.7
RETIROLÂNDIA,11,33.3,22,66.7,15.0,45.5,18,54.5,0.0,0.0,0.0,0.0,19,57.6,7,21.2,7,21.2,0.0,0.0
RIACHO DE SANTANA,17,33.3,34,66.7,28.0,54.9,23,45.1,0.0,0.0,0.0,0.0,28,54.9,13,25.5,10,19.6,0.0,0.0
RIACHÃO DAS NEVES,36,33.0,73,67.0,8.0,7.3,101,92.7,0.0,0.0,0.0,0.0,46,42.2,25,22.9,27,24.8,11.0,10.1
RIACHÃO DO JACUÍPE,28,33.3,56,66.7,25.0,29.8,59,70.2,0.0,0.0,0.0,0.0,52,61.9,18,21.4,13,15.5,1.0,1.2
RIBEIRA DO AMPARO,14,33.3,28,66.7,2.0,4.8,40,95.2,0.0,0.0,0.0,0.0,22,52.4,10,23.8,9,21.4,1.0,2.4
RIBEIRA DO POMBAL,18,32.1,38,67.9,8.0,14.3,48,85.7,0.0,0.0,0.0,0.0,33,58.9,9,16.1,14,25.0,0.0,0.0
RIBEIRÃO DO LARGO,16,34.8,30,65.2,6.0,13.0,39,84.8,1.0,2.2,0.0,0.0,14,30.4,25,54.3,5,10.9,2.0,4.3
RIO DE CONTAS,17,39.5,26,60.5,34.0,79.1,9,20.9,0.0,0.0,0.0,0.0,21,48.8,16,37.2,6,14.0,0.0,0.0
RIO DO ANTÔNIO,14,35.9,25,64.1,24.0,61.5,15,38.5,0.0,0.0,0.0,0.0,20,51.3,11,28.2,6,15.4,2.0,5.1
RIO DO PIRES,10,34.5,19,65.5,7.0,24.1,22,75.9,0.0,0.0,0.0,0.0,12,41.4,11,37.9,5,17.2,1.0,3.4
RIO REAL,17,31.5,37,68.5,12.0,22.2,42,77.8,0.0,0.0,0.0,0.0,26,48.1,12,22.2,16,29.6,0.0,0.0
RODELAS,10,31.2,22,68.8,13.0,40.6,13,40.6,0.0,0.0,6.0,18.8,14,43.8,14,43.8,3,9.4,1.0,3.1
RUY BARBOSA,20,32.3,42,67.7,24.0,38.7,36,58.1,2.0,3.2,0.0,0.0,23,37.1,17,27.4,20,32.3,2.0,3.2
SALINAS DA MARGARIDA,44,34.1,85,65.9,14.0,10.9,115,89.1,0.0,0.0,0.0,0.0,64,49.6,41,31.8,23,17.8,1.0,0.8
SALVADOR,327,31.0,729,69.0,166.0,15.7,883,83.6,5.0,0.5,2.0,0.2,454,43.0,102,9.7,493,46.7,7.0,0.7
SANTA BRÍGIDA,13,32.5,27,67.5,6.0,15.0,34,85.0,0.0,0.0,0.0,0.0,22,55.0,11,27.5,6,15.0,1.0,2.5
SANTA BÁRBARA,25,30.5,57,69.5,3.0,3.7,79,96.3,0.0,0.0,0.0,0.0,38,46.3,30,36.6,9,11.0,5.0,6.1
SANTA CRUZ CABRÁLIA,42,36.5,73,63.5,27.0,23.5,77,67.0,0.0,0.0,11.0,9.6,46,40.0,32,27.8,20,17.4,17.0,14.8
SANTA CRUZ DA VITÓRIA,12,31.6,26,68.4,12.0,31.6,26,68.4,0.0,0.0,0.0,0.0,18,47.4,10,26.3,8,21.1,2.0,5.3
SANTA INÊS,21,35.0,39,65.0,10.0,16.7,50,83.3,0.0,0.0,0.0,0.0,27,45.0,13,21.7,13,21.7,7.0,11.7
SANTA LUZIA,31,34.1,60,65.9,13.0,14.3,77,84.6,0.0,0.0,1.0,1.1,60,65.9,12,13.2,12,13.2,7.0,7.7
SANTA MARIA DA VITÓRIA,23,30.7,52,69.3,29.0,38.7,46,61.3,0.0,0.0,0.0,0.0,39,52.0,18,24.0,12,16.0,6.0,8.0
SANTA RITA DE CÁSSIA,24,31.2,53,68.8,20.0,26.0,57,74.0,0.0,0.0,0.0,0.0,43,55.8,15,19.5,19,24.7,0.0,0.0
SANTA TEREZINHA,19,35.8,34,64.2,10.0,18.9,43,81.1,0.0,0.0,0.0,0.0,35,66.0,16,30.2,2,3.8,0.0,0.0
SANTALUZ,20,32.3,42,67.7,7.0,11.3,55,88.7,0.0,0.0,0.0,0.0,35,56.5,14,22.6,13,21.0,0.0,0.0
SANTANA,20,30.8,45,69.2,15.0,23.1,50,76.9,0.0,0.0,0.0,0.0,39,60.0,21,32.3,4,6.2,1.0,1.5
SANTANÓPOLIS,16,33.3,32,66.7,9.0,18.8,39,81.2,0.0,0.0,0.0,0.0,23,47.9,15,31.2,2,4.2,8.0,16.7
SANTO AMARO,93,31.6,201,68.4,10.0,3.4,282,95.9,2.0,0.7,0.0,0.0,191,65.0,38,12.9,58,19.7,7.0,2.4
SANTO ANTÔNIO DE JESUS,64,33.2,129,66.8,31.0,16.1,161,83.4,1.0,0.5,0.0,0.0,99,51.3,64,33.2,28,14.5,2.0,1.0
SANTO ESTEVÃO,39,32.0,83,68.0,19.0,15.6,103,84.4,0.0,0.0,0.0,0.0,70,57.4,31,25.4,18,14.8,3.0,2.5
SAPEAÇU,28,31.5,61,68.5,13.0,14.6,76,85.4,0.0,0.0,0.0,0.0,36,40.4,40,44.9,11,12.4,2.0,2.2
SAUBARA,43,34.7,81,65.3,0.0,0.0,123,99.2,0.0,0.0,1.0,0.8,68,54.8,40,32.3,15,12.1,1.0,0.8
SAÚDE,16,37.2,27,62.8,11.0,25.6,32,74.4,0.0,0.0,0.0,0.0,21,48.8,15,34.9,7,16.3,0.0,0.0
SEABRA,32,33.7,63,66.3,41.0,43.2,54,56.8,0.0,0.0,0.0,0.0,38,40.0,37,38.9,16,16.8,4.0,4.2
SEBASTIÃO LARANJEIRAS,11,35.5,20,64.5,9.0,29.0,22,71.0,0.0,0.0,0.0,0.0,19,61.3,8,25.8,4,12.9,0.0,0.0
SENHOR DO BONFIM,49,31.2,108,68.8,29.0,18.5,127,80.9,1.0,0.6,0.0,0.0,82,52.2,21,13.4,54,34.4,0.0,0.0
SENTO SÉ,34,35.8,61,64.2,25.0,26.3,70,73.7,0.0,0.0,0.0,0.0,56,58.9,24,25.3,15,15.8,0.0,0.0
SERRA DO RAMALHO,25,32.9,51,67.1,7.0,9.2,69,90.8,0.0,0.0,0.0,0.0,37,48.7,11,14.5,14,18.4,14.0,18.4
SERRA DOURADA,12,31.6,26,68.4,21.0,55.3,17,44.7,0.0,0.0,0.0,0.0,17,44.7,10,26.3,6,15.8,5.0,13.2
SERRA PRETA,21,31.8,45,68.2,9.0,13.6,57,86.4,0.0,0.0,0.0,0.0,26,39.4,32,48.5,8,12.1,0.0,0.0
SERRINHA,83,32.4,173,67.6,48.0,18.8,207,80.9,1.0,0.4,0.0,0.0,142,55.5,62,24.2,50,19.5,2.0,0.8
SERROLÂNDIA,14,35.0,26,65.0,20.0,50.0,20,50.0,0.0,0.0,0.0,0.0,17,42.5,6,15.0,7,17.5,10.0,25.0
SIMÕES FILHO,89,31.1,197,68.9,20.0,7.0,266,93.0,0.0,0.0,0.0,0.0,154,53.8,59,20.6,63,22.0,10.0,3.5
SOBRADINHO,32,32.0,68,68.0,31.0,31.0,69,69.0,0.0,0.0,0.0,0.0,50,50.0,32,32.0,16,16.0,2.0,2.0
SOUTO SOARES,13,31.0,29,69.0,4.0,9.5,38,90.5,0.0,0.0,0.0,0.0,24,57.1,13,31.0,5,11.9,0.0,0.0
SÁTIRO DIAS,16,34.0,31,66.0,4.0,8.5,43,91.5,0.0,0.0,0.0,0.0,22,46.8,16,34.0,8,17.0,1.0,2.1
SÃO DESIDÉRIO,28,30.8,63,69.2,27.0,29.7,64,70.3,0.0,0.0,0.0,0.0,56,61.5,17,18.7,16,17.6,2.0,2.2
SÃO DOMINGOS,12,36.4,21,63.6,8.0,24.2,23,69.7,0.0,0.0,2.0,6.1,23,69.7,3,9.1,7,21.2,0.0,0.0
SÃO FELIPE,30,33.7,59,66.3,19.0,21.3,70,78.7,0.0,0.0,0.0,0.0,55,61.8,27,30.3,7,7.9,0.0,0.0
SÃO FRANCISCO DO CONDE,61,33.9,119,66.1,1.0,0.6,179,99.4,0.0,0.0,0.0,0.0,103,57.2,29,16.1,46,25.6,2.0,1.1
SÃO FÉLIX,23,32.4,48,67.6,10.0,14.1,61,85.9,0.0,0.0,0.0,0.0,38,53.5,18,25.4,15,21.1,0.0,0.0
SÃO FÉLIX DO CORIBE,11,32.4,23,67.6,6.0,17.6,28,82.4,0.0,0.0,0.0,0.0,17,50.0,10,29.4,5,14.7,2.0,5.9
SÃO GABRIEL,22,33.3,44,66.7,11.0,16.7,55,83.3,0.0,0.0,0.0,0.0,32,48.5,21,31.8,12,18.2,1.0,1.5
SÃO GONÇALO DOS CAMPOS,51,31.9,109,68.1,17.0,10.6,143,89.4,0.0,0.0,0.0,0.0,93,58.1,35,21.9,31,19.4,1.0,0.6
SÃO JOSÉ DA VITÓRIA,19,35.2,35,64.8,8.0,14.8,44,81.5,2.0,3.7,0.0,0.0,29,53.7,18,33.3,5,9.3,2.0,3.7
SÃO JOSÉ DO JACUÍPE,13,32.5,27,67.5,14.0,35.0,26,65.0,0.0,0.0,0.0,0.0,22,55.0,15,37.5,1,2.5,2.0,5.0
SÃO MIGUEL DAS MATAS,18,33.3,36,66.7,11.0,20.4,43,79.6,0.0,0.0,0.0,0.0,26,48.1,15,27.8,4,7.4,9.0,16.7
SÃO SEBASTIÃO DO PASSÉ,64,32.5,133,67.5,19.0,9.6,177,89.8,0.0,0.0,1.0,0.5,134,68.0,35,17.8,28,14.2,0.0,0.0
SÍTIO DO MATO,27,33.3,54,66.7,1.0,1.2,69,85.2,11.0,13.6,0.0,0.0,21,25.9,14,17.3,5,6.2,41.0,50.6
SÍTIO DO QUINTO,10,34.5,19,65.5,13.0,44.8,16,55.2,0.0,0.0,0.0,0.0,10,34.5,13,44.8,5,17.2,1.0,3.4
TABOCAS DO BREJO VELHO,11,32.4,23,67.6,7.0,20.6,27,79.4,0.0,0.0,0.0,0.0,22,64.7,7,20.6,3,8.8,2.0,5.9
TANHAÇU,19,32.2,40,67.8,13.0,22.0,46,78.0,0.0,0.0,0.0,0.0,21,35.6,28,47.5,10,16.9,0.0,0.0
TANQUE NOVO,14,32.6,29,67.4,24.0,55.8,19,44.2,0.0,0.0,0.0,0.0,21,48.8,8,18.6,5,11.6,9.0,20.9
TANQUINHO,21,35.6,38,64.4,0.0,0.0,59,100.0,0.0,0.0,0.0,0.0,38,64.4,15,25.4,6,10.2,0.0,0.0
TAPEROÁ,30,32.3,63,67.7,19.0,20.4,74,79.6,0.0,0.0,0.0,0.0,48,51.6,36,38.7,8,8.6,1.0,1.1
TAPIRAMUTÁ,18,34.0,35,66.0,14.0,26.4,39,73.6,0.0,0.0,0.0,0.0,28,52.8,20,37.7,5,9.4,0.0,0.0
TEIXEIRA DE FREITAS,112,31.5,244,68.5,54.0,15.2,301,84.6,1.0,0.3,0.0,0.0,166,46.6,94,26.4,90,25.3,6.0,1.7
