,FEMININO,%FEMININO,MASCULINO,%MASCULINO,BRANCA,%BRANCA,NEGRA,%NEGRA,AMARELA,%AMARELA,INDÍGENA,%INDÍGENA,ENSINO MÉDIO,%ENSINO MÉDIO,ENSINO FUNDAMENTAL,%ENSINO FUNDAMENTAL,ENSINO SUPERIOR,%ENSINO SUPERIOR,LÊ E ESCREVE,%LÊ E ESCREVE
CONCEIÇÃO DO JACUÍPE,53,34.0,103,66.0,21.0,13.5,135,86.5,0.0,0.0,0.0,0.0,85,54.5,34,21.8,36,23.1,1.0,0.6
CONDE,38,33.3,76,66.7,10.0,8.8,104,91.2,0.0,0.0,0.0,0.0,68,59.6,26,22.8,19,16.7,1.0,0.9
CONDEÚBA,27,36.5,47,63.5,20.0,27.0,54,73.0,0.0,0.0,0.0,0.0,32,43.2,26,35.1,15,20.3,1.0,1.4
CONTENDAS DO SINCORÁ,9,36.0,16,64.0,4.0,16.0,21,84.0,0.0,0.0,0.0,0.0,14,56.0,4,16.0,3,12.0,4.0,16.0
CORAÇÃO DE MARIA,29,33.3,58,66.7,4.0,4.6,82,94.3,1.0,1.1,0.0,0.0,31,35.6,10,11.5,6,6.9,40.0,46.0
CORDEIROS,12,33.3,24,66.7,18.0,50.0,18,50.0,0.0,0.0,0.0,0.0,15,41.7,9,25.0,6,16.7,6.0,16.7
CORIBE,8,33.3,16,66.7,20.0,83.3,4,16.7,0.0,0.0,0.0,0.0,9,37.5,10,41.7,5,20.8,0.0,0.0
CORONEL JOÃO SÁ,13,31.0,29,69.0,3.0,7.1,39,92.9,0.0,0.0,0.0,0.0,19,45.2,11,26.2,10,23.8,2.0,4.8
CORRENTINA,18,30.0,42,70.0,18.0,30.0,35,58.3,7.0,11.7,0.0,0.0,30,50.0,16,26.7,13,21.7,1.0,1.7
COTEGIPE,14,31.1,31,68.9,3.0,6.7,42,93.3,0.0,0.0,0.0,0.0,24,53.3,11,24.4,8,17.8,2.0,4.4
CRAVOLÂNDIA,16,33.3,32,66.7,12.0,25.0,36,75.0,0.0,0.0,0.0,0.0,27,56.2,14,29.2,7,14.6,0.0,0.0
CRISTÓPOLIS,11,32.4,23,67.6,15.0,44.1,19,55.9,0.0,0.0,0.0,0.0,13,38.2,8,23.5,9,26.5,4.0,11.8
CRISÓPOLIS,17,38.6,27,61.4,4.0,9.1,40,90.9,0.0,0.0,0.0,0.0,17,38.6,22,50.0,5,11.4,0.0,0.0
CRUZ DAS ALMAS,57,31.1,126,68.9,34.0,18.6,149,81.4,0.0,0.0,0.0,0.0,107,58.5,27,14.8,47,25.7,2.0,1.1
CURAÇÁ,27,33.8,53,66.2,0.0,0.0,79,98.8,0.0,0.0,1.0,1.2,44,55.0,15,18.8,15,18.8,6.0,7.5
CÂNDIDO SALES,29,36.7,50,63.3,1.0,1.3,78,98.7,0.0,0.0,0.0,0.0,30,38.0,22,27.8,10,12.7,17.0,21.5
