,municipios,repr_pret_eleitos,repr_negr_eleitos,inves_negr100,repr_negra100,codigo_ibge,latitude,longitude
82,Coaraci,0.0,93,80.0,97.26,2908002,-14.637,-39.5556
83,Cocos,154.0,56,112.0,30.6,2908101,-14.1814,-44.5352
84,Conde,85.0,100,40.0,109.34,2908606,-11.8179,-37.6131
85,Condeúba,431.0,133,68.0,106.14,2908705,-14.9022,-41.9718
86,Cordeiros,0.0,102,42.0,72.97,2909000,-15.0356,-41.9308
87,Coribe,0.0,15,104.0,24.85,2909109,-13.8232,-44.4586
88,Coronel João Sá,0.0,135,104.0,137.66,2909208,-10.2847,-37.9198
89,Correntina,148.0,66,106.0,83.99,2909307,-13.3477,-44.6333
90,Cotegipe,121.0,132,109.0,123.02,2909406,-12.0228,-44.2566
91,Cravolândia,132.0,91,103.0,97.34,2909505,-13.3531,-39.8031
92,Cristópolis,140.0,78,113.0,86.72,2909703,-12.2249,-44.4214
93,Curaçá,83.0,125,138.0,123.43,2909901,-8.984580000000001,-39.8997
94,Dário Meira,69.0,114,80.0,121.06,2910008,-14.4229,-39.9031
95,Dom Basílio,554.0,132,101.0,158.72,2910107,-13.7565,-41.7677
96,Dom Macedo Costa,46.0,37,106.0,61.57,2910206,-12.9016,-39.1923
97,Elísio Medrado,0.0,28,68.0,43.35,2910305,-12.9417,-39.5191
98,Encruzilhada,0.0,88,71.0,111.47,2910404,-15.5302,-40.9124
99,Entre Rios,141.0,108,48.0,105.18,2910503,-11.9392,-38.0871
100,Érico Cardoso,0.0,61,52.0,102.61,2900504,-13.4215,-42.1352
101,Esplanada,0.0,126,102.0,122.34,2910602,-11.7942,-37.9432
102,Eunápolis,97.0,113,83.0,113.62,2910727,-16.3715,-39.5821
103,Fátima,0.0,116,102.0,95.04,2910750,-10.616,-38.2239
104,Filadélfia,185.0,128,169.0,108.99,2910859,-10.7405,-40.1437
105,Firmino Alves,0.0,137,85.0,122.44,2910909,-14.9823,-39.9269
106,Floresta Azul,89.0,102,65.0,108.09,2911006,-14.8629,-39.6579
107,Gandu,92.0,125,47.0,114.41,2911204,-13.7441,-39.4747
108,Gavião,0.0,130,52.0,130.78,2911253,-11.4688,-39.7757
109,Glória,0.0,148,102.0,134.92,2911402,-9.34382,-38.2544
110,Gongogi,104.0,116,39.0,116.25,2911501,-14.3195,-39.469
111,Governador Mangabeira,100.0,92,107.0,90.5,2911600,-12.5994,-39.0412
112,Guanambi,63.0,90,113.0,98.42,2911709,-14.2231,-42.7799
113,Guaratinga,136.0,116,39.0,107.35,2911808,-16.5833,-39.7847
114,Iaçu,0.0,78,102.0,108.84,2911907,-12.7666,-40.2056
115,Ibiassucê,258.0,128,109.0,98.06,2912004,-14.2711,-42.257
116,Ibicaraí,72.0,131,95.0,115.12,2912103,-14.8579,-39.5914
117,Ibicoara,373.0,120,89.0,104.99,2912202,-13.4059,-41.284
118,Ibicuí,349.0,99,79.0,104.32,2912301,-14.845,-39.9879
119,Ibipeba,0.0,131,126.0,128.04,2912400,-11.6438,-42.0195
120,Ibipitanga,0.0,60,100.0,81.98,2912509,-12.8804,-42.4856
121,Ibiquera,0.0,119,101.0,115.09,2912608,-12.6444,-40.9338
122,Ibirapitanga,0.0,87,72.0,107.8,2912707,-14.1649,-39.3787
123,Ibirapuã,166.0,97,101.0,95.73,2912806,-17.6832,-40.1129
124,Ibirataia,0.0,98,97.0,109.18,2912905,-14.0643,-39.6459
125,Ibitiara,69.0,85,139.0,96.5,2913002,-12.6502,-42.2179
126,Ibititá,0.0,38,72.0,55.74,2913101,-11.5414,-41.9748
127,Ibotirama,0.0,118,80.0,110.47,2913200,-12.1779,-43.2167
128,Ichu,101.0,65,109.0,72.88,2913309,-11.7431,-39.1905
129,Igrapiúna,59.0,106,64.0,114.64,2913457,-13.8295,-39.1361
130,Iguaí,121.0,100,120.0,84.38,2913507,-14.7528,-40.0894
131,Ilhéus,53.0,91,152.0,103.04,2913606,-14.793,-39.046
132,Inhambupe,175.0,97,94.0,97.83,2913705,-11.780999999999999,-38.355
133,Ipecaetá,0.0,92,97.0,74.65,2913804,-12.3028,-39.3069
134,Ipiaú,165.0,106,82.0,103.3,2913903,-14.1226,-39.7353
135,Ipirá,43.0,90,57.0,109.31,2914000,-12.1561,-39.7359
136,Irajuba,0.0,109,74.0,110.66,2914208,-13.2563,-40.0848
137,Iramaia,85.0,98,29.0,100.9,2914307,-13.2902,-40.9595
138,Iraquara,0.0,124,77.0,110.3,2914406,-12.2429,-41.6155
139,Irará,28.0,110,52.0,106.75,2914505,-12.0504,-38.7631
140,Irecê,59.0,75,108.0,90.39,2914604,-11.3033,-41.8535
141,Itabela,74.0,85,106.0,105.84,2914653,-16.5732,-39.5593
142,Itaberaba,75.0,74,54.0,93.49,2914703,-12.5242,-40.3059
143,Itabuna,32.0,95,103.0,108.53,2914802,-14.7876,-39.2781
144,Itacaré,155.0,117,38.0,95.34,2914901,-14.2784,-38.9959
145,Itaeté,146.0,98,81.0,90.02,2915007,-12.9831,-40.9677
146,Itagi,0.0,112,101.0,108.15,2915106,-14.1615,-40.0131
147,Itagibá,46.0,97,60.0,98.85,2915205,-14.2782,-39.8449
148,Itagimirim,0.0,132,116.0,121.12,2915304,-16.0819,-39.6133
149,Itajuípe,111.0,92,103.0,96.39,2915502,-14.6788,-39.3698
150,Itamaraju,0.0,106,90.0,110.62,2915601,-17.0378,-39.5386
151,Itamari,0.0,49,73.0,82.23,2915700,-13.7782,-39.683
152,Itambé,70.0,112,84.0,118.74,2915809,-15.2429,-40.63
153,Itanagra,117.0,95,60.0,87.82,2915908,-12.2614,-38.0436
154,Itaparica,101.0,111,68.0,105.07,2916104,-12.8932,-38.68
155,Itapé,63.0,100,61.0,114.95,2916203,-14.8876,-39.4239
156,Itapebi,0.0,127,67.0,112.04,2916302,-15.9551,-39.5329
157,Itapetinga,53.0,122,42.0,104.7,2916401,-15.2475,-40.2482
158,Itapicuru,0.0,125,115.0,123.54,2916500,-11.3088,-38.2262
159,Itapitanga,0.0,109,99.0,117.87,2916609,-14.4139,-39.5657
160,Itaquara,0.0,82,100.0,85.93,2916708,-13.4459,-39.9378
161,Itarantim,94.0,58,79.0,104.05,2916807,-15.6528,-40.065
162,Itatim,0.0,54,113.0,69.45,2916856,-12.7099,-39.6952
163,Itiruçu,0.0,52,49.0,82.45,2916906,-13.529000000000002,-40.1472
164,Itiúba,0.0,85,81.0,85.14,2917003,-10.6948,-39.8446
165,Itororó,0.0,120,75.0,122.14,2917102,-15.11,-40.0684
166,Ituaçu,0.0,142,90.0,137.49,2917201,-13.8107,-41.3003
167,Ituberá,139.0,92,83.0,111.61,2917300,-13.7249,-39.1481
168,Jaborandi,0.0,71,100.0,45.59,2917359,-13.6071,-44.4255
169,Jacobina,120.0,75,101.0,99.7,2917508,-11.1812,-40.5117
170,Jaguaquara,40.0,111,67.0,125.59,2917607,-13.5248,-39.964
171,Jaguarari,229.0,108,77.0,108.14,2917706,-10.2569,-40.1999
172,Jaguaripe,95.0,103,72.0,110.54,2917805,-13.1109,-38.8939
173,Jandaíra,452.0,62,47.0,71.66,2917904,-11.5616,-37.7853
174,Jequié,151.0,89,109.0,99.15,2918001,-13.8509,-40.0877
175,Jeremoabo,99.0,117,97.0,101.9,2918100,-10.0685,-38.3471
176,Jiquiriçá,79.0,96,59.0,104.42,2918209,-13.2621,-39.5737
177,Jitaúna,81.0,84,63.0,95.11,2918308,-14.0131,-39.8969
